"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: cutoff","Param: parallelism","Param: size"
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,044606","0,003718","ms/op",2048,16,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,354255","0,060054","ms/op",2048,16,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"1,944468","0,287109","ms/op",2048,16,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"16,651451","2,582718","ms/op",2048,16,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,046557","0,005508","ms/op",4096,2,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,483104","0,046081","ms/op",4096,2,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"5,575311","0,533045","ms/op",4096,2,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"49,720122","5,274426","ms/op",4096,2,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,044493","0,006222","ms/op",4096,4,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,332941","0,066142","ms/op",4096,4,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"3,183192","0,276237","ms/op",4096,4,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"27,304834","2,102405","ms/op",4096,4,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,045860","0,006817","ms/op",4096,8,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,325190","0,039801","ms/op",4096,8,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,666101","0,352429","ms/op",4096,8,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"24,868545","5,582738","ms/op",4096,8,1000000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,045318","0,005147","ms/op",4096,16,1000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"0,335058","0,065593","ms/op",4096,16,10000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"2,569473","0,551712","ms/op",4096,16,100000
"org.sample.MergeSortBenchmark.parallelMergeSort","avgt",1,20,"17,583161","2,786449","ms/op",4096,16,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,036764","0,005428","ms/op",0,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,935549","0,188973","ms/op",0,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"11,806568","2,591755","ms/op",0,,100000
